,Content,Author,Date,Language,Number of Likes,Number of Retweets,Author Name,Author Tweets Count,Author Following Count,Author Followers Count,Author Listed Count,Author Verified
782,"@taetaevoting_jp @bts_twt #taehyungxvogue
we love you kim taehyung

i vote #v of @bts_twt #netizensreport #mostlovedidol https://t.co/yeqgm996eg",@chama_hika,2022-09-20 10:27:30,en,0.0,0.0,𝑐ℎ𝑎𝑚𝑎 ᵗʰᵛ,28116.0,261.0,161.0,0.0,False
783,"@jayhoseok_ @bts_twt get ready for rush hour

we can’t wait for the release of the new song #rushhour by #crush featuring #jhope of #bts        this sept 22nd (@bts_twt)!

#rushhourftjhope jung hoseok",@Silya0294,2022-09-20 10:27:29,en,0.0,0.0,ⵙⵉⵍⵢⴰ⁷🤠 ʳᵘˢʰ ʰᵒᵘʳ🏁,29682.0,547.0,148.0,0.0,False
784,"@jinmoon1234 @bts_twt vote jin on tfma
yours truly supertuna

stream on youtube the best global k-drama ost #yours_jin and legendary song #supertuna_jin by #btsjin #seokjin 
@bts_twt https://t.co/jxkxt6svsl",@Shirley72935868,2022-09-20 10:27:26,en,0.0,0.0,Lovely Jin,66443.0,341.0,88.0,0.0,False
785,@cypherluscious @bts_twt i will have justice for awake!!!!! (and tonight has the other impossible half of my heart),@ninemoons42,2022-09-20 10:27:25,en,1.0,0.0,pj⁷💜🏳️‍🌈 7 forever!,250161.0,509.0,842.0,38.0,False
786,@jinnieside i’m listening to the most beautiful ost #withyou by #jimin #btsjimin of #bts           (@bts_twt ) and sungwoon + rt,@luvbagyg,2022-09-20 10:27:25,en,0.0,0.0,𝐆𝖺𝗍𝗂𝗇𝗁𝖺⁷ | Rush Hour 🕑,3863.0,270.0,82.0,0.0,False
787,"crush의 blackvox - ep.01 with #jhope #bts teaser

 https://t.co/fp1h0u5xxy",@sawok_2minn,2022-09-20 10:27:24,en,10.0,4.0,석진💜,21149.0,139.0,13366.0,13.0,False
788,"hi army,

if you want to cancel bts live in busan ticket. please dm to me 🥲 

thank you.",@Saibutani,2022-09-20 10:27:23,en,0.0,0.0,ฟรีสปิริตมันไทร,5368.0,220.0,70.0,1.0,False
789,"@officialpnation @hope__of hobi por favor cálmate ,deja de atacarme así tan temprano jejej😜😏😍

rush hour is coming soon 
j-hope is coming 

i am so excited to listen to the news song #rushhour feat. #jhope of #bts this sept 22nd (@bts_twt) https://t.co/4gtk9dosga",@Hanny09010060,2022-09-20 10:27:23,en,1.0,1.0,🌞💚🇲🇽💜🌸⁷HBele🃏ʲᵃᶜᵏ ᶦⁿ ᵗʰᵉ ᵇᵒˣ⟭⟬∞🌸,102325.0,2429.0,2943.0,14.0,False
790,@jinjoo_bts speedy recovery 🍀🍀💜,@Jess_FuLin,2022-09-20 10:27:23,en,0.0,0.0,Jess⁷ AAAAAHHHHHHH,86700.0,907.0,505.0,4.0,False
791,"@officialpnation @btschartdata hobi’s side profile 🔥🔥

rush hour is coming soon 
j-hope is coming 
#rushhouriscoming
#jhope #crush 

i am so excited to listen to the news song #rushhour #crush feat. #jhope of #bts this sept 22nd (@bts_twt)
https://t.co/ynaba1abeh",@pwetty_banz,2022-09-20 10:27:21,en,0.0,0.0,pwetty_b⁷|RUSH HOUR ft JHOPE,10182.0,107.0,95.0,1.0,False
792,"@bts_hamishe دان
#mahsaamini twenty-two yo iranian girl is brutally killed by sharia police in iran.
#مهسا_امینی",@army_raana,2022-09-20 10:27:21,en,0.0,1.0,Map of the soul⁷,35329.0,896.0,1372.0,9.0,False
793,"@jordyn_bangtan @breathetaeking_ tysm for this amazing giveaway i really want to have this album it's always in my wishlist since years 💜🤞💫
@raineflxwer_07 @taeolis_ @habibafarooq77 
we are excited for the release of the new song #rushhour by #crush featuring #jhope of #bts  this sept 22nd (@bts_twt) https://t.co/j1gtve4mr2",@btsnishily,2022-09-20 10:27:20,en,1.0,0.0,kanishka⁷ || manifesting jk photofolio💜🤞🥺,1865.0,475.0,512.0,0.0,False
794,@jinnieside @bts_twt listen to #yours_jin the best ost of 2021 and #supertuna_jin the global viral hit song by #btsjin #방탄소년단        (@bts_twt)  + rt,@goldggukiee,2022-09-20 10:27:20,en,0.0,0.0,Anna⁷🐰| RUSH HOUR,24855.0,828.0,342.0,0.0,False
795,@bts_zerooclock as she should with a son like him🤣,@sugarcayl,2022-09-20 10:27:20,en,1.0,0.0,cayls⁷ 🏁rush hour is coming,14727.0,128.0,158.0,1.0,False
796,"@ate_bts_army #mahsaamini twenty-two yo iranian girl is brutally killed by sharia police in iran.
#مهسا_امینی 
نه",@xemptymarsx,2022-09-20 10:27:19,en,0.0,0.0,EŁI⁷,4061.0,1674.0,1087.0,0.0,False
797,"@jayhoseok_ @bts_twt get ready for rush hour

we can’t wait for the release of the new song #rushhour by #crush featuring #jhope of #bts        this sept 22nd (@bts_twt)!

#rushhourftjhope l hoseok",@Silya0294,2022-09-20 10:27:18,en,0.0,0.0,ⵙⵉⵍⵢⴰ⁷🤠 ʳᵘˢʰ ʰᵒᵘʳ🏁,29682.0,547.0,148.0,0.0,False
798,@daily_jkupdate @bts_twt stream left and right #leftandright by #charlieputh featuring #jungkook of @bts_twt @charlieputh https://t.co/mqly4y3oti,@egine_ocon,2022-09-20 10:27:18,en,0.0,0.0,Egine Lag Ria,152702.0,375.0,150.0,0.0,False
799,"#byjustonhand 

bts the fact china suga holo pc

✨ php 2,000

** sealed
** acrylic frame included

‼️ 1 slot

✔ onhand &amp; ready to ship 

dop: php 500 dp, 
oct 5 - php 700
oct 20 - bal

🏷 wts lfb bts the fact china yoongi holo pc https://t.co/lwexekmusi",@byjusttt,2022-09-20 10:27:17,en,0.0,0.0,BY JUST ♡︎ BTS Tingi,3887.0,1111.0,1238.0,0.0,False
800,"@agustd_min1 @bts_twt i am excited to listen to #rushhour by #crush feat. #jhope of #bts     coming out on sept 22 (@bts_twt)

جيهوب",@tete_qww7,2022-09-20 10:27:17,en,0.0,0.0,𝑆♡︎⁷ | RUSH HOUR,14556.0,232.0,78.0,0.0,False
801,@daily_jkupdate @bts_twt listening nonstop to the most loved song  #leftandright by #charlieputh and #jungkook of @bts_twt @charlieputh https://t.co/dwfupa82rg,@DailyJKUpdate,2022-09-20 10:27:17,en,3.0,2.0,DailyJKUpdate ʲᵏ,13842.0,374.0,13626.0,148.0,False
802,@hejinseok i am so excited to listen to the news song #rushhour feat. #jhope of #bts       this sept 22nd (@bts_twt),@sunnmyg,2022-09-20 10:27:17,en,0.0,0.0,𝐬𝐚𝐬𝐚⁷ rush hour,27716.0,7929.0,8493.0,25.0,False
803,"@pjmtrendingsong forever​ with​ jimin

we love listening to #withyou and #filter by #jimin #btsjimin of #bts   (@bts_twt)",@23_maie,2022-09-20 10:27:17,en,0.0,0.0,MAIE_23,118310.0,442.0,47.0,0.0,False
804,bts of a short film! https://t.co/tcc4hmesvn,@https_lavagirl,2022-09-20 10:27:16,en,0.0,0.0,✭・.・✫ kara ✫・.・✭,337.0,17.0,53.0,0.0,False
805,"@officialpnation 😭😭😭!!! 

so excited for the new song #rushhour by #crush featuring #jhope of #bts     this sept 22nd (@bts_twt)!",@ot7_rawda,2022-09-20 10:27:16,en,0.0,0.0,#RushHour⁷ 🃏 | JIMTOBER D-23 🐥🎂,39706.0,319.0,190.0,0.0,False
806,bts releasing and collabing hits after hits,@btstrend,2022-09-20 10:27:14,en,3.0,1.0,beatrix⁷ ia,50103.0,6456.0,9087.0,6.0,False
807,"me desperte enamoradisima de hoseok🥰🥰 

i am so excited to listen to the news song #rushhour feat. #jhope of #bts this sept 22nd (@bts_twt) https://t.co/vjzg0tigb7",@Nebulosa_Orionn,2022-09-20 10:27:13,en,0.0,0.0,♡ᴿᵘˢʰ ᴴᵒᵘʳ/Dai⁷,33515.0,388.0,289.0,0.0,False
808,"@jayhoseok_ @bts_twt get ready for rush hour

we can’t wait for the release of the new song #rushhour by #crush featuring #jhope of #bts        this sept 22nd (@bts_twt)!

#rushhourftjhope hobi",@Silya0294,2022-09-20 10:27:11,en,0.0,0.0,ⵙⵉⵍⵢⴰ⁷🤠 ʳᵘˢʰ ʰᵒᵘʳ🏁,29682.0,547.0,148.0,0.0,False
809,@jinnieside always listening to #christmastree  song by  #v of @bts_twt. + rt,@luvbagyg,2022-09-20 10:27:11,en,0.0,0.0,𝐆𝖺𝗍𝗂𝗇𝗁𝖺⁷ | Rush Hour 🕑,3863.0,270.0,82.0,0.0,False
810,"@agustd_min1 @bts_twt i am excited to listen to #rushhour by #crush feat. #jhope of #bts     coming out on sept 22 (@bts_twt)

بتس هوسوك",@tete_qww7,2022-09-20 10:27:10,en,0.0,0.0,𝑆♡︎⁷ | RUSH HOUR,14556.0,232.0,78.0,0.0,False
